iter	Logloss
0	0.6728579501
1	0.656278954
2	0.6400194834
3	0.6249158054
4	0.612602591
5	0.6015764058
6	0.5903068258
7	0.5813749316
8	0.5728261357
9	0.5654928895
10	0.5583269937
11	0.5510515642
12	0.5438565544
13	0.5366712525
14	0.5319283087
15	0.5274098569
16	0.5223086039
17	0.5178763426
18	0.5129683012
19	0.5086959889
20	0.5045761156
21	0.5016201147
22	0.4985905706
23	0.494587236
24	0.4919615794
25	0.4894139762
26	0.4867143214
27	0.4845393959
28	0.4826057484
29	0.4806811761
30	0.4790606682
31	0.4766419119
32	0.4746388491
33	0.4728784214
34	0.4712749823
35	0.4699016853
36	0.4684771029
37	0.4670747174
38	0.4658520778
39	0.4644717502
40	0.4634722242
41	0.4623214739
42	0.4615937841
43	0.4607475485
44	0.4596784682
45	0.4587422741
46	0.4582871541
47	0.4572690628
48	0.4564825825
49	0.4559857942
50	0.4553042622
51	0.4546029867
52	0.4536532
53	0.4532047906
54	0.4526989885
55	0.4518902739
56	0.4512184499
57	0.4507204193
58	0.449962043
59	0.4493737764
60	0.4485069753
61	0.448101379
62	0.4475934477
63	0.4470419439
64	0.4465840846
65	0.4463375031
66	0.4460655168
67	0.445568949
68	0.4449583353
69	0.4447449819
70	0.4444322279
71	0.4444034057
72	0.4442013334
73	0.4438764574
74	0.443542332
75	0.4432507701
76	0.4423979176
77	0.4420551082
78	0.4415909835
79	0.4413790015
80	0.4409777039
81	0.4407580767
82	0.440494256
83	0.4403265085
84	0.4401883659
85	0.4400899844
86	0.4398312641
87	0.4393965207
88	0.4391103465
89	0.439003923
90	0.4386022625
91	0.4381204626
92	0.4379496156
93	0.4379226736
94	0.4378797999
95	0.4376201514
96	0.4374403291
97	0.4371323664
98	0.4368468159
99	0.4367202292
100	0.4365511123
101	0.4365062466
102	0.4362137457
103	0.4360990996
104	0.4359617838
105	0.4358128329
106	0.4356401162
107	0.4353703017
108	0.435175456
109	0.4349948611
110	0.4345654497
111	0.4344182917
112	0.4340222874
113	0.4338231783
114	0.4336981921
115	0.4334107163
116	0.4331791453
117	0.4328879948
118	0.4327211843
119	0.4322947368
120	0.432152613
121	0.4319165121
122	0.4313187009
123	0.431101728
124	0.430957625
125	0.4306322779
126	0.430553159
127	0.4302501139
128	0.4301068227
129	0.429947349
130	0.4297431963
131	0.4294902398
132	0.4293760729
133	0.4292524442
134	0.4289576253
135	0.4288968772
136	0.4287701883
137	0.4285307572
138	0.4283337131
139	0.4279869267
140	0.4278327816
141	0.4275492439
142	0.4272580673
143	0.42699781
144	0.4268452521
145	0.4266761418
146	0.4265846275
147	0.4265151929
148	0.4263198211
149	0.4261213408
150	0.4259043987
151	0.4257133108
152	0.4255167982
153	0.4251114036
154	0.424948854
155	0.4248775404
156	0.4247888029
157	0.424611707
158	0.4243793161
159	0.4241913031
160	0.423929331
161	0.423795802
162	0.4237180919
163	0.4234720211
164	0.4230969643
165	0.422874914
166	0.4228710207
167	0.4226287503
168	0.4225214318
169	0.4223524747
170	0.422115803
171	0.4219804926
172	0.4219237551
173	0.4218541737
174	0.4216656847
175	0.4214818065
176	0.4212341206
177	0.4211151893
178	0.4210227365
179	0.420847774
180	0.4207203268
181	0.4203289903
182	0.4202556611
183	0.4200381197
184	0.4199232514
185	0.4197769679
186	0.4195193963
187	0.4193089842
188	0.4191572369
189	0.4191299418
190	0.4189959615
191	0.4186981417
192	0.418694333
193	0.4184169128
194	0.4183290154
195	0.4182749431
196	0.4179395346
197	0.4178297488
198	0.4177024923
199	0.4174607547
200	0.4173347723
201	0.4170398545
202	0.41693398
203	0.4167650164
204	0.4165514522
205	0.416362714
206	0.4162212129
207	0.4159501491
208	0.4158680402
209	0.4155033201
210	0.4151639539
211	0.4150305597
212	0.4149404362
213	0.4149057953
214	0.4147411891
215	0.4145070238
216	0.4143267463
217	0.4139708974
218	0.4137895737
219	0.4136842707
220	0.4134522004
221	0.4133496477
222	0.413027151
223	0.4128946879
224	0.4127105523
225	0.4126873754
226	0.412587011
227	0.4123736054
228	0.4123196099
229	0.4121430842
230	0.4119945499
231	0.4118643991
232	0.4116700377
233	0.4115242207
234	0.4113398728
235	0.4112047259
236	0.4110898383
237	0.4108074939
238	0.4105623234
239	0.4104127607
240	0.4103664345
241	0.4102291124
242	0.4100809597
243	0.4099032055
244	0.4096882479
245	0.4096070971
246	0.4094161467
247	0.4091655309
248	0.4090697825
249	0.4088975674
250	0.4086227855
251	0.4085668598
252	0.4085257307
253	0.4083724805
254	0.4082137907
255	0.4080468751
256	0.407765707
257	0.4076014175
258	0.4074423282
259	0.4071089517
260	0.4070103122
261	0.4068326977
262	0.4067333431
263	0.4065625807
264	0.4064478879
265	0.4061462362
266	0.4060790706
267	0.4058505056
268	0.4057779295
269	0.4056879992
270	0.4056230356
271	0.4054545017
272	0.4053644944
273	0.4052826189
274	0.4049391366
275	0.4046344841
276	0.4044681129
277	0.404397451
278	0.404067121
279	0.4038681286
280	0.4038252346
281	0.4035165952
282	0.4032845023
283	0.4032076482
284	0.4030338124
285	0.4029915989
286	0.4028415993
287	0.4027041822
288	0.4023101025
289	0.4021664617
290	0.4021167528
291	0.4020257345
292	0.4019167598
293	0.4018986002
294	0.4017565368
295	0.4017322818
296	0.4016518308
297	0.401292582
298	0.4012370171
299	0.400885325
300	0.4007414212
301	0.4003692685
302	0.4001609402
303	0.3999622995
304	0.39969166
305	0.3995282673
306	0.3994393657
307	0.3993373671
308	0.3992563568
309	0.3991618979
310	0.3990295951
311	0.3988946988
312	0.3988702377
313	0.3987053087
314	0.3985505673
315	0.3985181974
316	0.3984037841
317	0.3981630819
318	0.3979246577
319	0.3979218233
320	0.3978396331
321	0.397562145
322	0.3974631402
323	0.3972566302
324	0.3971091903
325	0.3969145195
326	0.3967655794
327	0.3967176349
328	0.3966038801
329	0.3964752347
330	0.3964403795
331	0.3962730211
332	0.3961287761
333	0.395958334
334	0.3957196926
335	0.3956627896
336	0.3956530399
337	0.3954725666
338	0.3953509058
339	0.3951375816
340	0.3950811434
341	0.3948950542
342	0.3947650754
343	0.3947444223
344	0.3945743362
345	0.394311007
346	0.394138333
347	0.3939685703
348	0.3938523933
349	0.3935793687
350	0.3934885938
351	0.3933764697
352	0.3930696053
353	0.3928903454
354	0.3928283739
355	0.3926541004
356	0.392626578
357	0.3923887327
358	0.3923178229
359	0.3921980562
360	0.3919990684
361	0.3918838681
362	0.391604686
