iter	Passed	Remaining
0	65	39147
1	121	36287
2	162	32289
3	203	30299
4	247	29471
5	298	29580
6	338	28695
7	379	28056
8	430	28280
9	470	27768
10	521	27909
11	574	28143
12	625	28238
13	663	27769
14	706	27565
15	762	27820
16	811	27816
17	858	27760
18	916	28032
19	975	28284
20	1039	28647
21	1106	29067
22	1168	29317
23	1219	29279
24	1271	29246
25	1322	29202
26	1382	29344
27	1437	29364
28	1491	29359
29	1550	29468
30	1604	29451
31	1656	29398
32	1712	29422
33	1776	29568
34	1821	29400
35	1865	29224
36	1915	29149
37	1975	29210
38	2066	29721
39	2123	29730
40	2179	29713
41	2243	29808
42	2296	29748
43	2344	29625
44	2416	29803
45	2473	29794
46	2533	29813
47	2589	29779
48	2661	29929
49	2719	29911
50	2771	29829
51	2829	29821
52	2889	29817
53	2943	29762
54	3013	29865
55	3081	29930
56	3143	29947
57	3196	29866
58	3260	29895
59	3336	30030
60	3400	30046
61	3452	29955
62	3520	30006
63	3577	29961
64	3630	29883
65	3688	29844
66	3741	29760
67	3792	29670
68	3850	29629
69	3906	29579
70	3976	29624
71	4004	29367
72	4069	29378
73	4128	29346
74	4179	29259
75	4230	29171
76	4282	29089
77	4331	28985
78	4392	28967
79	4444	28888
80	4495	28806
81	4553	28766
82	4607	28699
83	4655	28599
84	4706	28517
85	4752	28406
86	4813	28380
87	4864	28303
88	4916	28227
89	4976	28199
90	5044	28217
91	5098	28150
92	5151	28085
93	5175	27860
94	5192	27600
95	5243	27530
96	5295	27461
97	5349	27404
98	5411	27383
99	5459	27295
100	5511	27230
101	5547	27086
102	5599	27017
103	5662	27003
104	5710	26919
105	5765	26868
106	5826	26843
107	5883	26802
108	5954	26823
109	6020	26819
110	6095	26851
111	6149	26796
112	6201	26728
113	6262	26698
114	6313	26625
115	6365	26557
116	6412	26471
117	6457	26377
118	6520	26354
119	6574	26299
120	6624	26225
121	6684	26191
122	6739	26135
123	6778	26022
124	6844	26007
125	6921	26037
126	6982	26007
127	7035	25942
128	7096	25909
129	7160	25888
130	7210	25814
131	7262	25747
132	7313	25680
133	7388	25695
134	7448	25655
135	7498	25583
136	7549	25513
137	7607	25468
138	7665	25422
139	7733	25409
140	7791	25364
141	7856	25340
142	7912	25288
143	7977	25263
144	8050	25261
145	8108	25214
146	8171	25181
147	8238	25161
148	8284	25076
149	8345	25036
150	8407	25000
151	8465	24950
152	8525	24907
153	8590	24878
154	8656	24853
155	8709	24787
156	8758	24713
157	8819	24672
158	8874	24615
159	8943	24594
160	9005	24555
161	9068	24517
162	9126	24468
163	9176	24396
164	9237	24353
165	9291	24292
166	9313	24148
167	9365	24083
168	9415	24011
169	9476	23969
170	9527	23901
171	9577	23833
172	9627	23763
173	9679	23698
174	9737	23649
175	9792	23591
176	9852	23546
177	9934	23551
178	10020	23567
179	10092	23549
180	10169	23541
181	10225	23485
182	10272	23407
183	10319	23331
184	10363	23248
185	10432	23221
186	10507	23206
187	10569	23163
188	10622	23099
189	10687	23062
190	10732	22982
191	10783	22914
192	10806	22789
193	10874	22758
194	10944	22730
195	10997	22668
196	11065	22636
197	11123	22584
198	11170	22509
199	11237	22474
200	11285	22403
201	11342	22347
202	11396	22288
203	11447	22222
204	11505	22169
205	11567	22124
206	11623	22068
207	11687	22025
208	11740	21964
209	11796	21907
210	11864	21874
211	11939	21852
212	11984	21774
213	12033	21706
214	12109	21685
215	12168	21632
216	12226	21579
217	12283	21523
218	12339	21468
219	12392	21405
220	12448	21348
221	12508	21297
222	12569	21249
223	12623	21189
224	12670	21117
225	12716	21044
226	12774	20990
227	12845	20958
228	12921	20933
229	12991	20898
230	13059	20860
231	13121	20813
232	13177	20756
233	13240	20708
234	13294	20648
235	13354	20597
236	13412	20542
237	13468	20485
238	13519	20421
239	13567	20351
240	13622	20291
241	13682	20241
242	13738	20184
243	13793	20124
244	13876	20106
245	13949	20074
246	14008	20019
247	14060	19957
248	14129	19917
249	14184	19858
250	14241	19801
251	14298	19745
252	14361	19697
253	14420	19643
254	14473	19581
255	14531	19526
256	14586	19467
257	14647	19416
258	14705	19361
259	14767	19310
260	14820	19250
261	14883	19200
262	14954	19162
263	15010	19104
264	15066	19046
265	15121	18987
266	15168	18917
267	15229	18866
268	15286	18809
269	15341	18751
270	15398	18694
271	15457	18639
272	15508	18576
273	15568	18522
274	15630	18472
275	15688	18416
276	15750	18366
277	15813	18315
278	15879	18269
279	15945	18223
280	16012	18177
281	16085	18138
282	16152	18093
283	16211	18038
284	16266	17978
285	16319	17917
286	16392	17878
287	16454	17825
288	16511	17768
289	16567	17709
290	16627	17655
291	16683	17597
292	16736	17535
293	16787	17472
294	16847	17418
295	16910	17368
296	16960	17303
297	17021	17249
298	17085	17199
299	17147	17147
300	17214	17100
301	17281	17052
302	17352	17009
303	17413	16954
304	17468	16895
305	17525	16838
306	17577	16776
307	17629	16714
308	17685	16655
309	17735	16591
310	17786	16528
311	17844	16472
312	17912	16424
313	17973	16370
314	18031	16314
315	18088	16256
316	18155	16208
317	18211	16150
318	18278	16100
319	18335	16043
320	18390	15984
321	18444	15923
322	18496	15862
323	18553	15804
324	18613	15750
325	18671	15693
326	18722	15630
327	18773	15568
328	18837	15516
329	18904	15467
330	18962	15410
331	19025	15357
332	19075	15294
333	19129	15234
334	19195	15184
335	19252	15126
336	19308	15068
337	19363	15009
338	19424	14955
339	19478	14895
340	19528	14832
341	19583	14773
342	19636	14712
343	19692	14654
344	19745	14594
345	19797	14533
346	19866	14485
347	19938	14438
348	20003	14386
